CHEBI:18066	UDP-D-glucose
CHEBI:15377	water
CHEBI:15713	UTP
CHEBI:18420	magnesium(2+)
CHEBI:17665	alpha-D-glucose 6-phosphate
CHEBI:16077	D-glucopyranose 1-phosphate
CHEBI:18367	phosphate(3-)
CHEBI:17659	UDP
CHEBI:29888	diphosphoric acid
CHEBI:16695	UMP
CHEBI:17794	3-phospho-D-glyceric acid
CHEBI:15956	biotin
CHEBI:18420	magnesium(2+)
CHEBI:16001	3-phospho-D-glyceroyl dihydrogen phosphate
CHEBI:32816	pyruvic acid
CHEBI:29991	L-aspartate(1-)
CHEBI:16908	NADH
CHEBI:28602	beta-D-fructofuranose 2,6-bisphosphate
CHEBI:15351	acetyl-CoA
CHEBI:16905	keto-D-fructose 1,6-bisphosphate
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:17552	GDP
CHEBI:18405	pyridoxal 5'-phosphate
CHEBI:16761	ADP
CHEBI:29052	D-glyceraldehyde 3-phosphate
CHEBI:17665	alpha-D-glucose 6-phosphate
CHEBI:15846	NAD(+)
CHEBI:30769	citric acid
CHEBI:30744	oxaloacetic acid
CHEBI:16108	glycerone phosphate
CHEBI:15946	keto-D-fructose 6-phosphate
CHEBI:29035	manganese(2+)
CHEBI:29985	L-glutamate(1-)
CHEBI:30797	(S)-malic acid
CHEBI:16810	2-oxoglutarate(2-)
CHEBI:17835	2-phospho-D-glyceric acid
CHEBI:16526	carbon dioxide
CHEBI:15996	GTP
CHEBI:18367	phosphate(3-)
CHEBI:18021	phosphoenolpyruvate
CHEBI:28748	doxorubicin
CHEBI:57762	L-valine zwitterion
CHEBI:17790	methanol
CHEBI:15621	(4-hydroxyphenyl)acetaldehyde
CHEBI:16240	hydrogen peroxide
CHEBI:15760	tyramine
CHEBI:55458	1-(beta-D-ribofuranosyl)-1,4-dihydronicotinamide
CHEBI:16908	NADH
CHEBI:40538	benzylamine
CHEBI:17594	hydroquinone
CHEBI:28119	2,3,7,8-tetrachlorodibenzodioxine
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:16474	NADPH
CHEBI:17002	cholesterol ester
CHEBI:15846	NAD(+)
CHEBI:28694	copper atom
CHEBI:35854	valacyclovir
CHEBI:17169	benzaldehyde
CHEBI:48416	olmesartan
CHEBI:27881	resveratrol
CHEBI:2453	acyclovir
CHEBI:15927	N-ribosylnicotinamide
CHEBI:16238	FAD
CHEBI:16113	cholesterol
CHEBI:16134	ammonia
CHEBI:41001	ecgonine benzoate
CHEBI:16796	melatonin
CHEBI:15904	long-chain fatty acid
CHEBI:18295	histamine
CHEBI:8050	phenacetin
CHEBI:225238	benzylaminium
CHEBI:196991	4-hydroperoxycyclophosphamide
CHEBI:27398	imidazole-4-acetaldehyde
CHEBI:32682	L-argininium(1+)
CHEBI:29108	calcium(2+)
CHEBI:18009	NADP(+)
CHEBI:85505	4-ethoxyaniline
CHEBI:27958	cocaine
CHEBI:16680	S-adenosyl-L-homocysteine
CHEBI:15422	ATP
CHEBI:87178	fructosamine 3-phosphate
CHEBI:87180	ribulosamine 3-phosphate
CHEBI:87167	S-[(2E,6E)-farnesyl]-L-cysteine methyl ester
CHEBI:16761	ADP
CHEBI:87177	ribulosamine
CHEBI:87176	psicosamine
CHEBI:86019	S-[(2E,6E)-farnesyl]-L-cysteine residue
CHEBI:29105	zinc(2+)
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:15741	succinic acid
CHEBI:30797	(S)-malic acid
CHEBI:16908	NADH
CHEBI:15351	acetyl-CoA
CHEBI:151	D-threo-isocitric acid
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:17552	GDP
CHEBI:16474	NADPH
CHEBI:16761	ADP
CHEBI:18012	fumaric acid
CHEBI:15846	NAD(+)
CHEBI:30769	citric acid
CHEBI:30744	oxaloacetic acid
CHEBI:29035	manganese(2+)
CHEBI:16238	FAD
CHEBI:18290	thiamine(1+) diphosphate chloride
CHEBI:16810	2-oxoglutarate(2-)
CHEBI:15346	coenzyme A
CHEBI:15380	succinyl-CoA
CHEBI:16526	carbon dioxide
CHEBI:17460	lipoamide
CHEBI:15996	GTP
CHEBI:18009	NADP(+)
CHEBI:18367	phosphate(3-)
CHEBI:151	D-threo-isocitric acid
CHEBI:18367	phosphate(3-)
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:17627	ferroheme b
CHEBI:10545	electron
CHEBI:16474	NADPH
CHEBI:17189	2,5-dihydroxybenzoic acid
CHEBI:78619	iron(III) oxide-hydroxide(1-)
CHEBI:16761	ADP
CHEBI:17033	biliverdin
CHEBI:18248	iron atom
CHEBI:18009	NADP(+)
CHEBI:17245	carbon monoxide
CHEBI:28694	copper atom
CHEBI:30769	citric acid
CHEBI:35179	2-oxo monocarboxylic acid anion
CHEBI:58828	5-(methylsulfanyl)-2,3-dioxopentyl phosphate(2-)
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:57844	L-methionine zwitterion
CHEBI:16723	4-methylthio-2-oxobutanoate
CHEBI:58533	S-methyl-5-thio-alpha-D-ribose 1-phosphate(2-)
CHEBI:59869	L-alpha-amino acid zwitterion
CHEBI:18405	pyridoxal 5'-phosphate
CHEBI:18420	magnesium(2+)
CHEBI:17509	5'-S-methyl-5'-thioadenosine
CHEBI:18248	iron atom
CHEBI:58795	1-hydroxy-5-(methylthio)-3-oxopent-1-en-2-olate
CHEBI:29105	zinc(2+)
CHEBI:30751	formic acid
CHEBI:18367	phosphate(3-)
CHEBI:16708	adenine
CHEBI:58548	S-methyl-5-thio-D-ribulose 1-phosphate(2-)
CHEBI:17855	triglyceride
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:16110	1,2-diacyl-sn-glycero-3-phosphocholine(1+)
